Término,Definición / descripción,Sinónimos / términos relacionados,Fuente
SNIP,"Conjunto de normas, instrucciones y procedimientos que tienen por objeto, en el contexto de un Estado moderno, ordenar el proceso de la inversión pública, para concretar los proyectos más rentables socio­económica y ambientalmente en la República Dominicana. (docs.republica-dominicana.justia.com)",Sistema Nacional de Inversión Pública; “sistema de inversión pública”,https://mepyd.gob.do/snip/
Inversión pública,"Uso de recursos públicos o todo gasto público destinado a construir, ampliar, mejorar o reponer la capacidad productiva del país con el objeto de incrementar la producción de bienes y la prestación de servicios. Incluye las actividades de preinversión e inversión de las instituciones del sector público","inversión estatal, inversión del sector público",https://mepyd.gob.do/snip/
Proyecto de inversión pública,"Iniciativa concreta que demanda recursos públicos (o afectación presupuestaria) para generar bienes o servicios que respondan a una necesidad de la comunidad, y que ha sido sometida al proceso del SNIP. (sismap.gob.do)","proyecto público, iniciativa de inversión",https://mepyd.gob.do/snip/
Manejo de la inversión pública,"La inversión pública se gestiona a través del Sistema Nacional de Inversión Pública (SNIP), que reúne el conjunto de normas, procedimientos e instructivos mediante los cuales se planifican, evalúan y administran los proyectos de inversión. Este sistema busca garantizar que los recursos públicos se destinen a los proyectos más convenientes desde el punto de vista económico, social y ambiental, en beneficio de la sociedad. El Ministerio de Hacienda y Economía es el órgano rector del Sistema Nacional de Inversión Pública y, como tal, tiene la responsabilidad de emitir el certificado que acredita que un proyecto de inversión cumple con los estándares de calidad establecidos por las normas y procedimientos del SNIP. Este certificado, conocido comúnmente como Código SNIP, permite que el proyecto pueda recibir financiamiento con recursos públicos para su ejecución, garantizando el cumplimiento normativo, la trazabilidad y la transparencia en el uso de los fondos.","gestion, administración",https://mepyd.gob.do/snip/
Ciclo de vida del proyecto,"Conjunto de procesos e instancias requeridas por la administración pública a fin de planificar, formular, programar, ejecutar y operar los proyectos de inversión hasta el momento en que estos sean incorporados en la normal operación de las entidades y por ende en demandas de recursos que son asumidas por el gasto corriente. Comprende las fases de: Planificación, Formulación, Programación, Ejecución, Evaluación y Cierre.","ciclo de proyecto, etapas del proyecto, fases",https://mepyd.gob.do/snip/
Fase de preinversión,"Etapa inicial del ciclo de vida del proyecto en la que se definen la idea, perfil, prefactibilidad, factibilidad, formulación y evaluación. (MEF)","etapa de formulación, estudio previo",https://mepyd.gob.do/snip/
Fase de inversión / ejecución,"Etapa en que se concretan las obras o acciones del proyecto que fue aprobado, se gastan los recursos, se ejecuta el plan. (dgcp.gob.do)","etapa de implementación, ejecución del proyecto",https://mepyd.gob.do/snip/
Fase de operación / funcionamiento,"Etapa en la que el proyecto ya está instalado y genera los bienes o servicios para los beneficiarios, y se realiza operación y mantenimiento. (sismap.gob.do)","etapa de explotación, operación del proyecto",https://mepyd.gob.do/snip/
Órgano rector,"Entidad del Estado encargada de coordinar, analizar, evaluar, aprobar y supervisar el sistema SNIP y los proyectos del sector público. En RD, corresponde al Ministerio de Economía, Planificación y Desarrollo (Ministerio de Hacienda y Economía) y su unidad técnica. (sismap.gob.do)","autoridad del SNIP, órgano de inversión pública",https://mepyd.gob.do/snip/
Normas técnicas del SNIP,"Conjunto de reglas, lineamientos metodológicos, manuales e instructivos para la formulación, evaluación, gestión y seguimiento de proyectos de inversión pública. (Ministerio de Hacienda y Economía.gob.do)","manuales metodológicos, guía técnica",https://mepyd.gob.do/snip/
